| 04/23/2021 16:21:56| Guest | Connexion | Connected Successfully| user
| 04/25/2021 12:14:51| Department | UPDATE | NOM_PROF = '', PRENOM_PROF = '', SEXE_PROF = 'selected', DATE_NAISSANCE_PROF = '2005-04-17', CNIB_PROF = '', TELEPHONE_PROF = '', EMAIL_PROF = '', GRADE = 'master', SPECIALITE = ''| professeur
1| 04/25/2021 14:59:19| Department | Connexion | Connected Successfully| user
2| 04/25/2021 15:02:04| bs00003 | Connexion | Connected Successfully| user
>>>>>>> Stashed changes
<<<<<<< Updated upstream
=======
<<<<<<< Updated upstream
| 04/25/2021 18:07:42| Guest | Connexion | Connected Successfully| user
| 04/26/2021 15:14:14| Guest | Connexion | Connection Rejected| user
| 04/26/2021 15:14:27| Guest | Connexion | Connected Successfully| user
| 04/26/2021 15:36:30| teacher | Connexion | Connected Successfully| user
| 04/26/2021 15:53:13| Guest | Connexion | Connected Successfully| user
>>>>>>> Stashed changes
=======
<<<<<<< Updated upstream
3| 04/26/2021 15:36:46| Guest | Connexion | Connected Successfully| user
4| 04/26/2021 16:25:02| admin | Connexion | Connected Successfully| user
5| 04/26/2021 16:45:56| Department | Connexion | Connected Successfully| user
6| 04/26/2021 16:46:10| Department | Connexion | Connected Successfully| user
>>>>>>> Stashed changes
7| 04/26/2021 18:52:08| admin | UPDATE | MOTIVATION = 'Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quod assumenda accusantium ut! In obcaecati consequuntur neque, perspiciatis quas corrupti nulla fugiat accusantium, quibusdam iusto, labore voluptatibus. Tempora consequatur repellat doloribus.', OBSERVATION = 'Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quod assumenda accusantium ut! In obcaecati consequuntur neque, perspiciatis quas corrupti nulla fugiat accusantium, quibusdam iusto, labore voluptatibus. Tempora consequatur repellat doloribus.123'| historique_bourse
8| 04/26/2021 18:52:08| admin | UPDATE | PRENOM = 'Emmanuel', NOM = 'Yaro', SEXE = 'Male', DATE_NAISSANCE = '1999-12-25', CNIB = 'B524585787', EMAIL = 'emmanuel@gmail.com', TELEPHONE = 22675757575, DIPLOME = 'Bac D', MOYENNE = 17.290, ECOLE_ORIGINE = 'Lycee Venegre', NUM_URGENCE = 22675757575, NOM_PERE = 'Yaro Bekassoe', NOM_MERE = 'Zongo Marie', PROFESSION_PERE = 'Teacher', PROFESSION_MERE = 'Teacher', RECOMMENDATION = 'Yanogo Patrick'| etudiant
9| 04/26/2021 18:55:27| admin | UPDATE | MOTIVATION = 'cest quoi cette merde', OBSERVATION = 'Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quod assumenda accusantium ut! In obcaecati consequuntur neque, perspiciatis quas corrupti nulla fugiat accusantium, quibusdam iusto, labore voluptatibus. Tempora consequatur repellat doloribus.123'| historique_bourse
10| 04/26/2021 18:55:27| admin | UPDATE | PRENOM = 'Emmanuel', NOM = 'Yaro', SEXE = 'Male', DATE_NAISSANCE = '1999-12-25', CNIB = 'B524585787', EMAIL = 'emmanuel@gmail.com', TELEPHONE = 22675757575, DIPLOME = 'Bac D', MOYENNE = 17.290, ECOLE_ORIGINE = 'Lycee Venegre', NUM_URGENCE = 22675757575, NOM_PERE = 'Yaro Bekassoe', NOM_MERE = 'Zongo Marie', PROFESSION_PERE = 'Teacher', PROFESSION_MERE = 'Teacher', RECOMMENDATION = 'Yanogo Patrick'| etudiant
11| 04/26/2021 18:58:58| admin | UPDATE | MOTIVATION = 'cest quoi cette merde', OBSERVATION = 'Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quod assumenda accusantium ut! In obcaecati consequuntur neque, perspiciatis quas corrupti nulla fugiat accusantium, quibusdam iusto, labore voluptatibus. Tempora consequatur repellat doloribus.123'| historique_bourse
12| 04/26/2021 18:58:58| admin | UPDATE | PRENOM = 'Emmanuel', NOM = 'Yaro', SEXE = 'Male', DATE_NAISSANCE = '1999-12-25', CNIB = 'B524585787', EMAIL = 'emmanuel@gmail.com', TELEPHONE = 22675757575, DIPLOME = 'Bac D', MOYENNE = 17.290, ECOLE_ORIGINE = 'Lycee Venegre', NUM_URGENCE = 22675757575, NOM_PERE = 'Yaro Bekassoe', NOM_MERE = 'Zongo Marie', PROFESSION_PERE = 'Teacher', PROFESSION_MERE = 'Teacher', RECOMMENDATION = 'Yanogo Patrick'| etudiant
13| 04/26/2021 19:01:10| admin | UPDATE | MOTIVATION = 'cest quoi cette merde', OBSERVATION = 'Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quod assumenda accusantium ut! In obcaecati consequuntur neque, perspiciatis quas corrupti nulla fugiat accusantium, quibusdam iusto, labore voluptatibus. Tempora consequatur repellat doloribus.123'| historique_bourse
14| 04/26/2021 19:01:10| admin | UPDATE | PRENOM = 'Emmanuel', NOM = 'Yaro', SEXE = 'Male', DATE_NAISSANCE = '1999-12-25', CNIB = 'B524585787', EMAIL = 'emmanuel@gmail.com', TELEPHONE = 22675757575, DIPLOME = 'Bac D', MOYENNE = 17.290, ECOLE_ORIGINE = 'Lycee Venegre', NUM_URGENCE = 22675757575, NOM_PERE = 'Yaro Bekassoe', NOM_MERE = 'Zongo Marie', PROFESSION_PERE = 'Teacher', PROFESSION_MERE = 'Teacher', RECOMMENDATION = 'Yanogo Patrick'| etudiant
15| 04/26/2021 19:01:39| admin | UPDATE | MOTIVATION = 'cest quoi cette merde', OBSERVATION = 'Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quod assumenda accusantium ut! In obcaecati consequuntur neque, perspiciatis quas corrupti nulla fugiat accusantium, quibusdam iusto, labore voluptatibus. Tempora consequatur repellat doloribus.123'| historique_bourse
16| 04/26/2021 19:01:40| admin | UPDATE | PRENOM = 'Emmanuel', NOM = 'Yaro', SEXE = 'Male', DATE_NAISSANCE = '1999-12-25', CNIB = 'B524585787', EMAIL = 'emmanuel@gmail.com', TELEPHONE = 22675757575, DIPLOME = 'Bac D', MOYENNE = 17.290, ECOLE_ORIGINE = 'Lycee Venegre', NUM_URGENCE = 22675757575, NOM_PERE = 'Yaro Bekassoe', NOM_MERE = 'Zongo Marie', PROFESSION_PERE = 'Teacher', PROFESSION_MERE = 'Teacher', RECOMMENDATION = 'Yanogo Patrick'| etudiant
17| 04/26/2021 19:02:04| admin | UPDATE | MOTIVATION = 'cest quoi cette merde', OBSERVATION = 'Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quod assumenda accusantium ut! In obcaecati consequuntur neque, perspiciatis quas corrupti nulla fugiat accusantium, quibusdam iusto, labore voluptatibus. Tempora consequatur repellat doloribus.123'| historique_bourse
18| 04/26/2021 19:02:04| admin | UPDATE | PRENOM = 'Emmanuel', NOM = 'Yaro', SEXE = 'Male', DATE_NAISSANCE = '1999-12-25', CNIB = 'B524585787', EMAIL = 'emmanuel@gmail.com', TELEPHONE = 22675757575, DIPLOME = 'Bac D', MOYENNE = 17.290, ECOLE_ORIGINE = 'Lycee Venegre', NUM_URGENCE = 22675757575, NOM_PERE = 'Yaro Bekassoe', NOM_MERE = 'Zongo Marie', PROFESSION_PERE = 'Teacher', PROFESSION_MERE = 'Teacher', RECOMMENDATION = 'Yanogo Patrick'| etudiant
19| 04/26/2021 19:02:13| admin | UPDATE | MOTIVATION = 'cest quoi cette merde', OBSERVATION = 'Lorem, ipsum dolor sit amet consectetur adipisicing elit. Quod assumenda accusantium ut! In obcaecati consequuntur neque, perspiciatis quas corrupti nulla fugiat accusantium, quibusdam iusto, labore voluptatibus. Tempora consequatur repellat doloribus.123'| historique_bourse
